Topic,Count,Name,Representation,Representative_Docs
114,128,114_good taste_taste good_taste_good,"['good taste', 'taste good', 'taste', 'good', '', '', '', '', '', '']","['Good taste', 'Good taste', 'Good taste']"
115,128,115_yummy good_taste yummy_yummy_good taste,"['yummy good', 'taste yummy', 'yummy', 'good taste', 'taste good', 'taste', 'good', 'buhut', 'tast good', 'good tast']","['yummy 😋', 'yummy 😋', 'yummy 😋']"
116,126,116_delicious delicious_delicious tasty_tasty delicious_delicious,"['delicious delicious', 'delicious tasty', 'tasty delicious', 'delicious', 'tasty', '', '', '', '', '']","['Delicious', 'Delicious', 'Delicious']"
117,125,117_curry_pakora_kofta_pakoras,"['curry', 'pakora', 'kofta', 'pakoras', 'roti', 'besan', 'lobia', 'loved', 'absolutely delicious', 'delicious']","['best curry khausa 👍👍👍', 'best curry pokora ever... 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰', 'no coconut in curry']"
118,124,118_recommended nice_nice_recommended_really nice,"['recommended nice', 'nice', 'recommended', 'really nice', 'real taste', 'recommended really', 'strongly recommended', 'expectation', 'kid', 'recommended amazing']","['very nice', 'So nice', 'very nice']"
119,122,119_nice food_good nice_good good_food good,"['nice food', 'good nice', 'good good', 'food good', 'nice', 'good', 'food', 'food nice', 'just good', 'man']","['nice food', 'nice food', 'nice food']"
120,122,120_good food_food good_food_good,"['good food', 'food good', 'food', 'good', 'food loved', 'loved', '', '', '', '']","['good food', 'good food', 'good food']"
121,121,121_fish_finger_grilled_fried,"['fish', 'finger', 'grilled', 'fried', 'chips', 'bones', 'coating', 'fry', 'ordered', 'kg']","['good fish.', 'fish was so good', 'too much spci fish lasania']"
122,120,122_spoon_cutlery_spoons_provided,"['spoon', 'cutlery', 'spoons', 'provided', 'disposable', 'eat', 'parcel', 'box', 'tissues', 'provide']","['no spoon', 'No spoon —', 'Should have provided cutlery, disposable box & a spoon']"
123,118,123_delivery_took_time_late,"['delivery', 'took', 'time', 'late', 'long', 'delivery time', 'waiting', 'taking', 'minutes', 'time time']","['delivery time is too long', 'delivery time was very long', 'the delivery time was too long']"
124,117,124_pepsi_ordered_received_sent,"['pepsi', 'ordered', 'received', 'sent', 'paid', 'send', 'deal', 'charged', 'large', 'deals']","['i order mirinda and they sent pepsi', 'I ordered 3 pepsi and they sent me only 1', 'I ordered pepsi but they sent a mirinda']"
125,110,125_chinese_korean_authentic_best,"['chinese', 'korean', 'authentic', 'best', 'food', 'place', 'town', 'restaurant', 'food best', 'affordable']","['the best chinese food ""', 'Chinese good', 'Good Chinese']"
126,109,126_good yummy_yummy good_yummy_yummy excellent,"['good yummy', 'yummy good', 'yummy', 'yummy excellent', 'good excellent', 'excellent good', 'good good', 'excellent', 'good', 'vary']","['yummy', 'yummy', 'yummy']"
127,109,127_mayo_garlic_mayonnaise_garlic sauce,"['mayo', 'garlic', 'mayonnaise', 'garlic sauce', 'sauce', 'mayo sauce', 'roll', 'dip', 'rolls', 'mayo roll']","['mayo garlic roll is awesome', 'mayo garlic roll is love 💖', 'Mayo Garlic Roll was delicious 😋']"
128,105,128_hot_fresh hot_hot fresh_fresh,"['hot', 'fresh hot', 'hot fresh', 'fresh', 'warm', 'good hot', 'warm fresh', 'fresh warm', 'hot good', 'hotpot']","['Always fresh and hot', 'Fresh and hot', 'fresh and hot.']"
129,104,129_good good_good__,"['good good', 'good', '', '', '', '', '', '', '', '']","['good', 'good', 'good']"
130,103,130_amazing amazing_amazing_just awesome_just amazing,"['amazing amazing', 'amazing', 'just awesome', 'just amazing', 'awesome', 'phenomenal', 'just', 'extraordinary', 'incredible', 'exceptional']","['amazing', 'amazing', 'AMAZING AMAZING AMAZING']"
131,103,131_cooked_properly_cooking_properly cooked,"['cooked', 'properly', 'cooking', 'properly cooked', 'uncooked', 'cooked properly', 'cook', 'instructions', 'follow', 'wasnt cooked']","['Not Properly Cooked', 'The food was not properly cooked.', 'food was not properly cooked']"
132,102,132_home_home food_like home_home cooked,"['home', 'home food', 'like home', 'home cooked', 'best home', 'just like', 'food', 'like', 'authentic', 'food like']","['Good home made food.', 'good home made food', 'Besttttttttttttt home made food ever']"
133,101,133_delicious delicious_delicious good_good delicious_delicious,"['delicious delicious', 'delicious good', 'good delicious', 'delicious', 'good good', 'good', 'patties', 'level', '', '']","['delicious 😋', 'delicious😋', 'delicious😋']"
134,101,134_fresh fresh_fresh_wasnt fresh_wasnt,"['fresh fresh', 'fresh', 'wasnt fresh', 'wasnt', 'patties', 'fresh good', 'fresh time', 'good fresh', 'freshness', 'non']","['not fresh', ""it wasn't fresh"", 'half fresh half non fresh fresh was good but non fresh not good']"
135,100,135_instructions_follow_follow instructions_followed,"['instructions', 'follow', 'follow instructions', 'followed', 'didnt follow', 'instructions followed', 'read instructions', 'read', 'didnt', 'dont']","['Didn’t follow the instructions', 'Didn’t follow my instructions.', ""didn't follow the instructions.""]"
